"","Progress","Age","Gender","Ethnicity","Education","Marital","Employment","Purpose","FreqUse","Nationality","ucla_1","ucla_2","ucla_3","ucla_4","ucla_5","ucla_6","ucla_7","ucla_8","ucla_9","ucla_10","ucla_11","ucla_12","ucla_13","ucla_14","ucla_15","ucla_16","ucla_17","ucla_18","ucla_19","ucla_20","OCI_1","OCI_2","OCI_3","OCI_4","OCI_5","OCI_6","OCI_7","OCI_8","OCI_9","OCI_10","OCI_11","OCI_12","OCI_13","OCI_14","OCI_15","OCI_16","OCI_17","OCI_18","OCI_19","OCI_20","OCI_21","OCI_22","OCI_23","OCI_24","OCI_25","OCI_26","OCI_27","OCI_28","OCI_29","OCI_30","OCI_31","OCI_32","OCI_33","OCI_34","OCI_35","OCI_36","OCI_socsup","OCI_dep","OCI_imp","OCI_att","Ucla_score","OCI_score"
"71",100,28,1,1,5,1,1,"1,2,3,4,5,8,9",5,2,2,2,2,4,2,2,2,4,3,2,2,2,2,2,2,2,3,2,1,2,4,4,5,3,3,2,5,4,3,4,3,2,5,4,6,2,5,5,3,3,5,6,4,6,5,6,4,6,6,7,2,3,4,4,5,5,50,30,40,33,45,153
"72",100,27,1,1,5,1,1,"1",4,2,2,3,2,2,2,2,2,2,2,3,3,2,3,3,2,3,3,3,2,2,5,5,5,5,4,2,4,4,5,4,3,6,6,5,4,4,4,4,6,6,4,3,5,5,5,5,6,1,2,4,6,6,2,4,4,6,61,27,44,27,48,159
"73",100,30,1,1,3,2,1,"1,7,8",6,2,1,4,3,2,2,3,3,2,2,2,2,4,3,4,1,1,3,3,1,3,2,4,7,6,7,7,3,5,6,7,6,1,6,7,5,7,7,7,7,7,7,7,6,6,7,7,5,5,6,6,7,6,7,6,5,7,78,35,59,42,49,214
"74",100,24,2,1,4,2,1,"3",2,2,2,4,4,3,2,1,4,3,2,1,4,3,3,3,1,1,3,3,1,2,5,6,6,5,6,6,5,5,6,5,5,2,5,5,6,6,6,5,5,6,5,5,5,5,4,4,6,3,4,5,4,5,6,3,3,4,67,28,47,35,50,177
"75",100,30,2,1,5,2,1,"1",4,2,2,4,4,3,2,1,4,3,1,1,3,3,4,3,1,1,3,3,2,1,2,5,6,5,6,5,5,6,5,5,6,2,5,5,6,5,6,7,6,6,5,6,6,6,5,5,6,6,5,6,6,6,5,6,6,5,68,34,52,40,49,194
"76",100,26,2,1,4,3,4,"2,4,5,7,8",5,2,2,3,4,3,2,2,3,4,2,1,4,4,3,2,1,2,4,3,2,2,5,5,5,7,3,4,5,7,5,7,6,1,6,5,6,6,7,6,7,6,7,5,7,7,6,7,5,7,7,7,6,7,7,6,7,5,74,37,55,46,53,212
"77",100,27,1,1,3,2,2,"3,4,6,7,9",5,2,2,4,3,3,3,1,3,4,1,1,3,3,3,4,1,3,4,3,2,1,7,7,5,7,7,5,7,4,7,4,7,3,7,3,7,7,7,7,7,5,7,6,7,5,7,7,6,7,6,7,6,7,6,7,6,7,79,38,63,44,52,224
"78",100,28,1,1,4,2,1,"4,5,6,7,8,9",6,2,2,3,3,3,2,1,2,4,1,1,4,4,3,3,1,1,3,4,3,2,4,5,6,7,6,7,5,3,6,7,7,4,6,7,5,7,7,5,6,7,6,7,5,7,7,7,7,5,7,6,6,7,5,7,7,7,75,38,63,44,50,220
"79",100,28,1,1,4,1,1,"1,3,5,6",5,2,2,4,3,3,3,2,3,3,2,1,2,3,3,3,2,1,3,3,1,2,2,4,5,4,7,6,4,3,5,5,6,5,4,4,5,4,4,5,4,5,5,4,4,4,5,6,5,5,5,5,6,1,2,3,5,6,58,26,50,28,49,162
"80",100,25,2,1,4,2,6,"6",6,2,2,3,2,3,2,2,3,4,1,1,3,2,3,3,2,2,2,3,2,3,7,6,5,7,5,7,3,5,7,5,5,4,7,6,7,5,7,4,5,7,5,7,6,6,7,5,7,5,7,7,5,7,7,6,6,6,71,38,57,47,48,213
"81",100,24,1,1,4,1,1,"2,4,6",4,2,3,3,4,2,2,2,3,2,2,2,4,2,4,3,1,1,3,4,2,2,6,5,5,4,4,6,5,5,4,5,7,1,6,1,5,4,5,5,5,5,5,5,5,6,5,5,4,4,5,6,1,3,3,5,7,2,58,33,43,30,51,164
"82",100,33,1,1,4,2,3,"4,5,6",6,2,2,4,4,4,1,2,3,2,1,2,4,4,4,2,3,1,4,4,2,1,6,7,3,4,7,7,6,2,7,6,7,3,7,6,7,5,7,6,7,6,5,6,6,6,6,7,6,6,7,7,7,4,6,5,7,5,76,38,56,42,54,212
"83",100,27,1,1,4,1,1,"1,2,4,5,6",5,2,1,2,2,4,2,3,3,3,1,1,3,4,3,3,2,1,3,3,2,2,4,4,5,3,5,6,5,4,4,4,4,2,5,6,5,5,4,3,3,5,4,2,5,3,2,4,5,5,4,4,5,7,7,2,6,3,59,22,36,37,48,154
"84",100,27,2,1,4,2,6,"3",5,2,1,4,4,4,2,1,4,4,1,1,4,4,4,4,2,1,4,4,1,3,5,7,4,6,7,6,7,5,7,5,6,3,6,7,5,6,7,4,5,7,4,7,4,5,7,4,4,6,3,5,7,4,5,7,7,7,73,37,57,34,57,201
"85",100,30,2,1,3,2,1,"2",3,2,3,4,3,4,1,1,3,4,2,2,3,4,3,3,2,2,4,4,1,2,4,5,4,5,5,4,4,5,5,4,4,4,3,2,2,3,2,1,5,4,3,4,3,4,4,3,5,5,4,5,5,4,2,5,6,3,48,26,37,29,55,140
"86",100,28,2,1,4,2,4,"3",5,2,1,3,2,3,1,2,4,3,1,1,4,3,2,4,1,1,3,4,2,1,4,5,7,6,7,4,6,4,7,5,7,4,7,5,6,7,5,7,4,6,7,5,6,6,7,7,4,7,7,7,5,7,5,7,5,7,74,34,61,43,46,212
"87",100,30,1,1,3,2,1,"2",3,2,3,2,4,3,2,2,3,4,1,1,4,2,3,4,1,2,4,3,1,1,2,2,2,4,4,5,6,6,4,5,7,2,1,3,4,4,5,5,6,7,1,1,4,7,1,4,5,7,3,5,4,5,5,6,5,7,52,20,45,37,50,154
"88",100,18,1,1,3,2,6,"1,4,6,8",5,2,3,3,3,2,4,2,3,2,2,3,3,1,2,3,3,3,3,2,2,2,4,2,4,3,5,4,4,3,5,4,5,5,4,3,4,3,5,4,5,4,3,4,4,5,4,5,4,4,5,4,4,5,5,3,5,4,52,24,41,31,51,148
"89",100,36,1,1,3,1,3,"5",2,2,2,3,2,2,2,3,1,3,2,1,3,3,2,1,2,2,2,3,3,3,5,3,2,6,3,2,5,2,3,2,3,5,7,5,3,3,2,6,2,3,2,7,3,6,3,2,3,3,2,3,2,6,3,2,2,6,46,24,34,23,45,127
"90",100,37,1,1,3,4,3,"4",2,2,3,3,2,2,3,2,3,2,3,2,2,2,3,2,3,3,3,2,4,2,5,3,2,4,3,2,3,2,3,6,2,5,5,3,3,2,7,2,3,6,2,3,6,3,2,3,3,2,6,3,2,5,7,2,3,3,37,20,37,32,51,126
"91",100,24,2,1,3,2,2,"1,2,4",4,2,2,3,3,3,3,2,3,3,2,2,3,2,3,3,2,2,3,3,2,2,5,4,4,5,5,3,5,5,4,6,4,4,4,6,5,6,5,4,4,5,5,4,6,5,5,5,4,5,4,5,6,5,5,4,5,5,61,29,48,33,51,171
"92",100,25,2,1,4,2,2,"2,4,6,7",5,2,2,3,2,3,2,3,3,3,2,1,3,2,2,2,2,2,3,3,3,4,6,5,4,3,6,5,4,5,2,3,5,3,5,5,6,5,4,6,5,4,3,4,6,6,2,3,3,3,6,5,4,6,4,3,2,6,59,25,42,31,50,157
"93",100,30,2,1,4,2,1,"2",5,2,2,4,3,2,1,2,2,2,2,1,3,3,4,3,2,2,2,1,1,1,5,6,7,1,4,4,3,3,5,5,4,4,6,5,4,4,3,6,5,5,3,3,6,5,5,5,4,4,6,5,4,6,5,4,5,5,62,30,37,35,43,164
"94",100,32,2,1,3,2,1,"2,7,9",2,2,2,4,3,4,2,2,3,3,2,2,3,3,4,3,1,3,3,3,2,2,5,3,5,6,5,4,4,5,5,6,6,3,5,5,5,5,5,6,6,4,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,6,65,28,51,32,54,176
"95",100,20,1,1,4,2,6,"9",4,2,3,3,4,3,2,3,3,3,1,2,3,4,3,3,1,2,2,2,1,2,3,4,4,5,4,6,6,6,5,4,6,3,6,6,7,5,4,4,4,2,6,4,4,6,5,4,4,4,5,4,4,5,4,3,6,6,63,29,48,28,50,168
"96",100,24,1,1,4,2,1,"2,6,9",6,2,2,2,2,3,2,3,3,2,2,2,2,2,3,3,3,2,2,2,3,2,5,4,3,4,5,5,5,4,3,4,4,3,5,4,4,3,3,4,5,5,4,3,5,4,3,4,5,4,4,5,4,5,4,3,4,5,54,23,39,32,47,148
"97",100,35,1,3,4,1,1,"1,2,5,6,9",4,2,2,2,4,3,3,2,4,3,1,3,3,2,4,3,1,3,3,3,3,1,4,6,5,7,5,6,4,7,5,6,4,1,5,6,3,6,5,7,3,6,5,7,4,6,5,7,4,6,3,7,4,6,5,7,4,6,69,32,49,37,53,187
"98",100,44,1,3,5,1,1,"4,5,8,9",6,2,1,3,2,3,1,2,3,3,1,2,2,2,2,2,2,2,2,2,2,2,6,3,5,4,5,5,4,6,6,6,6,3,6,6,5,6,5,5,6,5,4,6,5,5,4,4,6,6,6,6,6,6,6,5,4,5,71,27,48,41,41,187
"99",100,30,1,1,4,2,1,"3",3,2,3,4,3,4,2,1,3,4,1,1,3,4,4,4,2,1,3,4,1,1,5,5,5,5,5,7,1,3,4,7,6,1,5,7,5,5,6,5,6,7,2,5,7,3,7,7,6,7,7,7,6,7,7,7,7,6,66,34,50,48,53,198
"100",100,24,1,1,3,2,2,"1,3,5,6",3,2,2,4,3,3,2,2,3,3,2,2,4,4,4,2,2,2,3,3,1,2,5,5,6,6,5,6,5,5,5,5,5,3,5,4,4,4,5,5,4,4,5,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,63,28,46,31,53,168
"101",100,20,1,1,4,2,6,"9",5,2,2,4,3,4,1,2,3,4,2,2,3,3,4,3,2,2,4,3,1,2,7,6,5,6,5,6,6,3,4,5,6,4,3,4,4,4,4,4,3,4,4,4,7,5,5,4,3,6,5,5,7,5,5,7,5,7,60,32,52,33,54,177
"102",100,30,1,1,5,2,1,"3",3,2,1,4,4,3,1,2,2,4,2,2,3,3,3,3,2,1,3,3,2,1,6,6,3,5,7,7,3,4,6,7,3,1,3,5,7,3,5,6,7,3,7,6,7,5,7,7,7,7,6,7,6,7,7,6,6,7,66,37,55,44,49,202
"103",100,42,1,2,2,2,2,"3,4,6",2,2,1,2,2,1,2,3,2,2,3,2,2,2,3,1,3,2,2,2,3,2,5,2,3,2,4,3,2,2,2,3,2,6,3,2,2,6,3,2,3,2,2,3,2,2,6,3,3,2,6,2,4,3,2,3,5,3,40,20,30,20,42,110
"104",100,36,1,1,4,2,1,"1,2,3,6,7,8",3,2,4,3,2,2,3,2,2,4,2,3,2,1,3,2,3,2,2,1,3,2,5,2,3,3,2,3,3,7,6,3,2,2,3,2,6,3,5,3,3,2,6,2,3,3,2,6,3,7,2,3,2,6,3,3,2,6,49,14,38,26,48,127
"105",100,30,2,1,5,2,1,"2,3",5,2,2,3,3,4,1,1,4,4,2,2,4,4,4,4,1,1,4,3,1,1,7,5,4,4,3,2,6,4,4,3,7,1,6,7,7,3,6,5,6,5,4,7,6,5,5,4,7,1,3,6,3,7,7,7,4,7,61,32,49,36,53,178
"106",100,28,1,1,4,1,1,"1,3,6,9",5,2,2,2,2,3,2,2,2,3,2,2,2,3,3,3,3,2,2,3,2,1,5,3,4,5,5,5,5,5,5,5,6,2,7,3,5,7,6,6,6,6,5,4,3,4,4,4,3,5,3,5,5,5,4,5,5,6,67,23,50,31,46,171
