"","Progress","Age","Gender","Ethnicity","Education","Marital","Employment","Purpose","FreqUse","Nationality","ucla_1","ucla_2","ucla_3","ucla_4","ucla_5","ucla_6","ucla_7","ucla_8","ucla_9","ucla_10","ucla_11","ucla_12","ucla_13","ucla_14","ucla_15","ucla_16","ucla_17","ucla_18","ucla_19","ucla_20","OCI_1","OCI_2","OCI_3","OCI_4","OCI_5","OCI_6","OCI_7","OCI_8","OCI_9","OCI_10","OCI_11","OCI_12","OCI_13","OCI_14","OCI_15","OCI_16","OCI_17","OCI_18","OCI_19","OCI_20","OCI_21","OCI_22","OCI_23","OCI_24","OCI_25","OCI_26","OCI_27","OCI_28","OCI_29","OCI_30","OCI_31","OCI_32","OCI_33","OCI_34","OCI_35","OCI_36","OCI_socsup","OCI_dep","OCI_imp","OCI_att","Ucla_score","OCI_score"
"196",100,34,2,1,5,1,1,"2",5,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,2,1,2,1,1,3,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,2,2,2,2,4,1,1,1,1,1,2,3,4,18,10,17,11,26,56
"197",100,29,2,1,4,2,1,"5,6,7,8",4,1,1,1,1,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,5,2,2,2,4,5,2,5,2,4,2,3,4,2,2,5,2,5,2,6,2,3,5,5,2,6,6,2,5,2,5,2,2,2,2,5,50,19,28,25,35,122
"198",100,71,1,1,4,1,7,"2,5,6,7,8",4,1,2,1,1,4,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,4,2,1,4,1,1,1,1,1,1,1,1,1,1,3,1,4,1,3,1,1,1,1,1,28,6,10,12,28,56
"199",100,65,2,1,4,1,7,"1,4,7,9",3,1,1,4,4,3,2,2,2,2,2,2,3,4,3,3,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,6,4,1,1,1,2,2,1,1,1,1,1,1,1,1,5,2,2,1,2,2,1,1,1,1,19,6,18,14,46,57
"200",100,30,1,1,4,2,9,"1,2,4,5,6,7,8,9",6,1,2,2,1,3,2,2,2,1,4,1,1,3,1,2,2,1,1,3,2,2,6,2,4,3,1,5,6,6,2,4,2,5,5,4,2,5,4,5,2,5,2,6,3,5,2,2,3,4,4,2,5,3,4,1,1,1,57,19,25,25,38,126
"201",100,70,2,1,3,1,5,"5,6,7,8,9",5,1,1,1,4,4,1,1,1,3,1,1,1,3,4,1,1,2,1,1,1,1,1,1,1,3,4,1,4,6,1,2,1,6,4,1,1,4,2,4,2,4,1,5,1,3,1,2,4,2,5,1,3,1,1,1,1,1,34,12,22,18,34,86
"202",100,51,1,1,4,1,1,"4,5,7,8,9",4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,2,1,1,5,2,1,1,1,23,6,10,23,23,62
"203",100,57,2,1,4,2,1,"1,2,3,4,5,6,7,9",2,1,4,1,1,1,2,2,1,3,2,2,3,2,2,1,4,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,5,7,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,13,6,25,17,42,61
"204",100,52,2,1,4,3,1,"1,2,4,5,7,9",2,1,1,1,1,3,2,1,1,1,1,1,1,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,2,1,1,1,1,1,14,6,10,12,28,42
"205",100,60,1,1,4,3,7,"1,4,5,7,8,9",4,1,2,1,1,3,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,5,1,3,1,1,2,2,6,4,5,1,2,6,2,1,1,2,1,1,1,1,1,2,3,1,2,6,1,5,1,5,1,1,1,5,2,40,13,17,16,28,86
